GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
statistics,ru.netology.domain,MovieItem,178,15,32,0,6,1,29,1,13,1
statistics,ru.netology.manager,AfishaManager,97,124,10,6,2,26,14,8,9,5
